id,state,name,_runtime,_step,_timestamp,_wandb,bias/lambda_1,bias/lambda_2,epoch,train/loss,trainer/global_step,val/loss,l1,l2,lr,smooth,input_dim,l1_lambda,l1_smooth,l2_lambda,hidden_dim,output_dim,optimizer_cls,bias_model_kwargs,grad_match_loss_fn
73dy8gdx,finished,glamorous-sweep-94,58.50745058059693,490,1749831879.1657536,{'runtime': 59},-0.0005224187043495476,0.04094109684228897,60,0.0030096853151917458,7599,1.5464829206466677,0.1,0.0001,0.01,1e-05,10,0.1,1e-05,0.0001,200,1,Adam,,mse_loss
ir40c2pb,finished,prime-sweep-93,57.96141266822815,490,1749831839.3459077,{'runtime': 58},0.00820143148303032,0.03914337977766991,60,0.0030024980660527945,7599,1.526230812072754,0.1,0.0001,0.01,0.0001,10,0.1,0.0001,0.0001,200,1,Adam,,mse_loss
c8f4xrl2,finished,charmed-sweep-92,56.79971742630005,490,1749831825.6324365,{'runtime': 57},0.04710175096988678,0.039794664829969406,60,0.0028871179092675447,7599,1.5247032642364502,0.1,0.0001,0.01,0.001,10,0.1,0.001,0.0001,200,1,Adam,,mse_loss
ijirssyg,finished,toasty-sweep-91,71.81915283203125,602,1749831797.7525475,{'runtime': 72},0.008647401817142963,0.0007142529357224703,75,0.0029588753823190928,9499,1.4993083477020264,0.1,0.0001,0.01,0.01,10,0.1,0.01,0.0001,200,1,Adam,,mse_loss
nhss54vj,finished,scarlet-sweep-90,52.16225790977478,321,1749831759.206204,{'runtime': 52},-0.005183374509215355,10.040629386901855,100,0.09558961540460588,12599,141.29898071289062,0.01,10.0,0.01,1e-06,10,0.01,1e-06,10.0,200,1,Adam,,mse_loss
99k2s9o3,finished,denim-sweep-89,51.45354986190796,321,1749831745.728828,{'runtime': 52},-0.005060987547039986,10.043025016784668,100,0.09561920166015624,12599,141.29885864257812,0.01,10.0,0.01,1e-05,10,0.01,1e-05,10.0,200,1,Adam,,mse_loss
0k256plt,finished,swept-sweep-88,52.44085144996643,321,1749831704.2938464,{'runtime': 53},-0.0049047162756323814,10.042811393737791,100,0.09563112258911131,12599,141.29811096191406,0.01,10.0,0.01,0.0001,10,0.01,0.0001,10.0,200,1,Adam,,mse_loss
xm0e0xvk,finished,brisk-sweep-87,51.96327018737793,321,1749831684.7780552,{'runtime': 52},-0.004074351396411657,10.039514541625977,100,0.09564290195703506,12599,141.29080200195312,0.01,10.0,0.01,0.001,10,0.01,0.001,10.0,200,1,Adam,,mse_loss
2tv5rvs6,finished,rare-sweep-86,51.14060950279236,321,1749831665.6539414,{'runtime': 51},-0.005752027966082096,10.046480178833008,100,0.0953119769692421,12599,141.2287139892578,0.01,10.0,0.01,0.01,10,0.01,0.01,10.0,200,1,Adam,,mse_loss
u3301ybq,finished,gentle-sweep-85,51.16709017753601,320,1749831627.8440092,{'runtime': 51},0.0013139619259163735,1.2124019861221311,94,0.011260860599577429,11849,25.10078239440918,0.01,1.0,0.01,1e-06,10,0.01,1e-06,1.0,200,1,Adam,,mse_loss
glk2n5wj,finished,wise-sweep-84,50.38548755645752,320,1749831608.7255406,{'runtime': 51},0.0017230247613042593,1.2035272121429443,94,0.011261398904025556,11849,25.10062026977539,0.01,1.0,0.01,1e-05,10,0.01,1e-05,1.0,200,1,Adam,,mse_loss
nb7b7ows,finished,scarlet-sweep-83,49.95322012901306,320,1749831589.9583182,{'runtime': 50},0.002560127293691039,1.1963815689086914,94,0.01125606894493103,11849,25.099674224853516,0.01,1.0,0.01,0.0001,10,0.01,0.0001,1.0,200,1,Adam,,mse_loss
xwj6sh0g,finished,expert-sweep-82,51.010398626327515,320,1749831544.9072216,{'runtime': 51},0.0020071561448276043,1.1969804763793943,94,0.01122200023382902,11849,25.092134475708008,0.01,1.0,0.01,0.001,10,0.01,0.001,1.0,200,1,Adam,,mse_loss
