id,state,name,_runtime,_step,_timestamp,_wandb,bias/theta_1,bias/theta_2,epoch,train/loss,trainer/global_step,val/loss,l1,l2,lr,smooth,l1_lambda,l1_smooth,l2_lambda,in_features,out_features,optimizer_cls,hidden_features,grad_match_loss_fn
an2paovm,finished,worldly-sweep-136,84.92304801940918,648,1755901717.591607,{'runtime': 85},0.004812253639101982,-2.1892833709716797,102,0.010630075819790363,12849,28.085805892944336,1.0,0.1,0.01,0.01,1.0,0.01,0.1,10,1,Adam,200,mse_loss
q0cuqhtj,finished,solar-sweep-135,80.96179056167603,676,1755901674.202849,{'runtime': 81},-4.696896076202393,-1.636410117149353,81,0.016776593402028084,10249,23.496196746826172,1.0,0.01,0.01,1e-06,1.0,1e-06,0.01,10,1,Adam,200,mse_loss
leidfcxq,finished,valiant-sweep-134,79.93100881576538,676,1755901657.9341989,{'runtime': 80},-4.697488784790039,-1.635997295379639,81,0.016772862523794174,10249,23.491140365600582,1.0,0.01,0.01,1e-05,1.0,1e-05,0.01,10,1,Adam,200,mse_loss
wr1wgcwp,finished,wise-sweep-133,112.14567279815674,803,1755901688.547093,{'runtime': 112},-2.5158040523529053,-1.7216509580612185,164,0.04633881151676178,20599,23.29047203063965,1.0,0.01,0.01,0.0001,1.0,0.0001,0.01,10,1,Adam,200,mse_loss
7rbvqcqx,finished,soft-sweep-132,75.73686623573303,603,1755901651.1052542,{'runtime': 76},-0.1365772932767868,-3.139975309371948,84,0.022522807121276855,10599,23.27020263671875,1.0,0.01,0.01,0.001,1.0,0.001,0.01,10,1,Adam,200,mse_loss
y83dc85r,finished,unique-sweep-131,76.78822779655457,603,1755901629.5585177,{'runtime': 77},-0.009615330956876278,-3.8126492500305176,84,0.021991023793816566,10599,23.16056251525879,1.0,0.01,0.01,0.01,1.0,0.01,0.01,10,1,Adam,200,mse_loss
ggd46f1d,finished,driven-sweep-130,82.42870950698853,680,1755901609.5867565,{'runtime': 82},-4.701084136962891,-1.7236120700836182,81,0.007512630894780159,10249,22.903032302856445,1.0,0.001,0.01,1e-06,1.0,1e-06,0.001,10,1,Adam,200,mse_loss
4lcshovp,finished,still-sweep-129,115.0182375907898,803,1755901611.885681,{'runtime': 115},-5.024088382720947,-1.7274707555770874,164,0.04600631445646286,20599,22.929311752319336,1.0,0.001,0.01,1e-05,1.0,1e-05,0.001,10,1,Adam,200,mse_loss
x579te6w,finished,classic-sweep-128,81.89826941490173,680,1755901569.8097544,{'runtime': 82},-2.2954304218292236,-1.8141930103302,81,0.008080280385911465,10249,22.687366485595703,1.0,0.001,0.01,0.0001,1.0,0.0001,0.001,10,1,Adam,200,mse_loss
tpvql0a1,finished,fallen-sweep-127,74.06362962722778,637,1755901556.6657066,{'runtime': 74},-0.07824984937906265,-3.989682674407959,64,0.00722669530659914,8099,22.668033599853516,1.0,0.001,0.01,0.001,1.0,0.001,0.001,10,1,Adam,200,mse_loss
