function_class,depth,width,noise_std,l2_lambda,runs,mean_abs_error,std_abs_error,median_rel_error,mean_rel_error
sine,3,128,0.1,0.001,1,0.002495365519076586,,2.4953655190765858,2.4953655190765858
sine,3,128,0.1,0.01,1,0.006443339390680194,,0.6443339390680194,0.6443339390680194
sine,3,128,0.1,0.1,1,0.05903871953487397,,0.5903871953487396,0.5903871953487396
sine,3,128,0.1,1.0,1,0.10357528924942017,,0.10357528924942017,0.10357528924942017
sine,3,256,0.1,0.0001,1,0.0007934814155101777,,7.934814155101776,7.934814155101776
sine,3,256,0.1,0.001,1,0.0023007833622395992,,2.3007833622395992,2.3007833622395992
sine,3,256,0.1,0.01,1,0.004958574436604976,,0.4958574436604976,0.4958574436604976
sine,3,256,0.1,0.1,1,0.03059516251087188,,0.3059516251087188,0.3059516251087188
sine,3,256,0.1,1.0,1,0.1431559920310974,,0.1431559920310974,0.1431559920310974
sine,5,64,0.1,0.0001,1,0.0013523559948429465,,13.523559948429464,13.523559948429464
sine,5,64,0.1,0.001,1,0.0006154366312548518,,0.6154366312548518,0.6154366312548518
sine,5,64,0.1,0.01,1,0.0032645084336400034,,0.3264508433640003,0.3264508433640003
sine,5,64,0.1,0.1,1,0.03130952417850494,,0.3130952417850494,0.3130952417850494
sine,5,64,0.1,1.0,1,0.3873758316040039,,0.3873758316040039,0.3873758316040039
sine,5,128,0.1,0.0001,1,0.0008923134835436941,,8.92313483543694,8.92313483543694
sine,5,128,0.1,0.001,1,0.004015571739524603,,4.015571739524603,4.015571739524603
sine,5,128,0.1,0.01,1,0.1022011137008667,,10.22011137008667,10.22011137008667
sine,5,128,0.1,0.1,1,0.029524719715118417,,0.29524719715118414,0.29524719715118414
sine,5,128,0.1,1.0,1,0.09329551458358765,,0.09329551458358765,0.09329551458358765
sine,5,256,0.1,0.0001,1,0.0006567141437903046,,6.567141437903046,6.567141437903046
sine,5,256,0.1,0.001,1,0.0011352297626435756,,1.1352297626435757,1.1352297626435757
sine,5,256,0.1,0.01,1,0.0061072092410176994,,0.6107209241017699,0.6107209241017699
sine,5,256,0.1,0.1,1,0.04382056891918182,,0.4382056891918182,0.4382056891918182
sine,5,256,0.1,1.0,1,0.5256161689758301,,0.5256161689758301,0.5256161689758301
