function_class,depth,width,noise_std,l2_lambda,runs,mean_abs_error,std_abs_error,median_rel_error,mean_rel_error
linear,3,128,0.5,0.001,1,0.016826482325792314,,16.826482325792313,16.826482325792313
linear,3,128,0.5,0.01,1,0.022148405909538267,,2.2148405909538265,2.2148405909538265
linear,3,128,0.5,0.1,1,0.03308881223201751,,0.3308881223201751,0.3308881223201751
linear,3,128,0.5,1.0,1,0.25763094425201416,,0.25763094425201416,0.25763094425201416
linear,3,256,0.1,0.0001,1,0.004070590080320835,,40.705900803208344,40.705900803208344
linear,3,256,0.1,0.001,1,0.0030508579909801483,,3.0508579909801483,3.0508579909801483
linear,3,256,0.1,0.01,1,0.005841206535696983,,0.5841206535696983,0.5841206535696983
linear,3,256,0.1,0.1,1,0.03605215102434159,,0.3605215102434159,0.3605215102434159
linear,3,256,0.1,1.0,1,0.4582383036613464,,0.4582383036613464,0.4582383036613464
linear,3,256,0.5,0.0001,1,0.0074670856654644015,,74.67085665464401,74.67085665464401
linear,3,256,0.5,0.001,1,0.002423635382205248,,2.423635382205248,2.423635382205248
linear,3,256,0.5,0.01,1,0.08117595851421357,,8.117595851421356,8.117595851421356
linear,3,256,0.5,0.1,1,0.044947424530982966,,0.44947424530982966,0.44947424530982966
linear,3,256,0.5,1.0,1,0.31492018699645996,,0.31492018699645996,0.31492018699645996
linear,5,64,0.1,0.0001,1,0.006007299122959375,,60.07299122959375,60.07299122959375
linear,5,64,0.1,0.001,1,0.029676310554146768,,29.676310554146767,29.676310554146767
linear,5,64,0.1,0.01,1,0.015622872151434422,,1.5622872151434422,1.5622872151434422
linear,5,64,0.1,0.1,1,0.14997380450367928,,1.4997380450367928,1.4997380450367928
linear,5,64,0.1,1.0,1,0.1585657000541687,,0.1585657000541687,0.1585657000541687
linear,5,64,0.5,0.0001,1,0.013272575272619724,,132.72575272619724,132.72575272619724
linear,5,64,0.5,0.001,1,0.02257239243388176,,22.57239243388176,22.57239243388176
linear,5,64,0.5,0.01,1,0.06000982761383056,,6.000982761383057,6.000982761383057
linear,5,64,0.5,0.1,1,0.12746697515249253,,1.2746697515249252,1.2746697515249252
linear,5,64,0.5,1.0,1,0.18850350379943848,,0.18850350379943848,0.18850350379943848
linear,5,128,0.1,0.0001,1,0.005855078978836537,,58.55078978836536,58.55078978836536
linear,5,128,0.1,0.001,1,0.01900084672868252,,19.00084672868252,19.00084672868252
linear,5,128,0.1,0.01,1,0.00949581690132618,,0.949581690132618,0.949581690132618
linear,5,128,0.1,0.1,1,0.17520298659801484,,1.7520298659801483,1.7520298659801483
linear,5,128,0.1,1.0,1,0.4316631555557251,,0.4316631555557251,0.4316631555557251
linear,5,128,0.5,0.0001,1,0.007392256224900484,,73.92256224900484,73.92256224900484
linear,5,128,0.5,0.001,1,0.011246610268950463,,11.246610268950462,11.246610268950462
linear,5,128,0.5,0.01,1,0.03466828748583794,,3.4668287485837936,3.4668287485837936
linear,5,128,0.5,0.1,1,0.13853859007358552,,1.385385900735855,1.385385900735855
linear,5,128,0.5,1.0,1,0.4080389142036438,,0.4080389142036438,0.4080389142036438
linear,5,256,0.1,0.0001,1,0.0048009149566292765,,48.00914956629276,48.00914956629276
linear,5,256,0.1,0.001,1,0.00601574482768774,,6.01574482768774,6.01574482768774
linear,5,256,0.1,0.01,1,0.011984216505661609,,1.198421650566161,1.198421650566161
linear,5,256,0.1,0.1,1,0.08888695538043975,,0.8888695538043975,0.8888695538043975
linear,5,256,0.1,1.0,1,0.4948740005493164,,0.4948740005493164,0.4948740005493164
linear,5,256,0.5,0.0001,1,0.0019933335181325676,,19.93333518132567,19.93333518132567
linear,5,256,0.5,0.001,1,0.026788623839616776,,26.788623839616776,26.788623839616776
linear,5,256,0.5,0.01,1,0.1052129140496254,,10.52129140496254,10.52129140496254
linear,5,256,0.5,0.1,1,0.02134981900453567,,0.2134981900453567,0.2134981900453567
linear,5,256,0.5,1.0,1,0.33522629737854004,,0.33522629737854004,0.33522629737854004
polynomial,1,64,0.1,0.0001,1,37.955416815185544,,379554.1681518554,379554.1681518554
polynomial,1,64,0.1,0.001,1,37.95541708374024,,37955.417083740234,37955.417083740234
polynomial,1,64,0.1,0.01,1,37.95541976928711,,3795.541976928711,3795.541976928711
polynomial,1,64,0.1,0.1,1,37.95541610717773,,379.5541610717773,379.5541610717773
polynomial,1,64,0.1,1.0,1,37.95540618896485,,37.95540618896485,37.95540618896485
polynomial,1,64,0.5,0.0001,1,37.955416815185544,,379554.1681518554,379554.1681518554
polynomial,1,64,0.5,0.001,1,37.95541708374024,,37955.417083740234,37955.417083740234
polynomial,1,64,0.5,0.01,1,37.955415954589846,,3795.541595458984,3795.541595458984
polynomial,1,64,0.5,0.1,1,37.95541610717773,,379.5541610717773,379.5541610717773
polynomial,1,64,0.5,1.0,1,37.95540618896485,,37.95540618896485,37.95540618896485
polynomial,1,128,0.1,0.0001,1,39.41582025756835,,394158.20257568354,394158.20257568354
polynomial,1,128,0.1,0.001,1,39.41582052612305,,39415.82052612305,39415.82052612305
polynomial,1,128,0.1,0.01,1,39.41581939697266,,3941.5819396972656,3941.5819396972656
polynomial,1,128,0.1,0.1,1,39.41584243774414,,394.15842437744135,394.15842437744135
polynomial,1,128,0.1,1.0,1,39.41583251953125,,39.41583251953125,39.41583251953125
polynomial,1,128,0.5,0.0001,1,39.41582025756835,,394158.20257568354,394158.20257568354
polynomial,1,128,0.5,0.001,1,39.41582052612305,,39415.82052612305,39415.82052612305
polynomial,1,128,0.5,0.01,1,39.41582321166992,,3941.582321166992,3941.582321166992
polynomial,1,128,0.5,0.1,1,39.41584243774414,,394.15842437744135,394.15842437744135
polynomial,1,128,0.5,1.0,1,39.41583633422851,,39.41583633422851,39.41583633422851
polynomial,1,256,0.1,0.0001,1,40.763827459716794,,407638.2745971679,407638.2745971679
polynomial,1,256,0.1,0.001,1,40.76382772827149,,40763.827728271484,40763.827728271484
polynomial,1,256,0.1,0.01,1,40.763826599121096,,4076.3826599121094,4076.3826599121094
polynomial,1,256,0.1,0.1,1,40.76382675170898,,407.6382675170898,407.6382675170898
